id,label,left_name,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_name,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
22409073,0,The Baltic - A One Bedroom Apartment,162781227,Gareth,Brooklyn,Gowanus,40.68192,-73.98176,Entire home/apt,280,2,7,2018-12-25,0.38,1,0,"Central 1 bdrm, W/D, roof deck",Kips Bay,26958002,Justin,Manhattan,40.74041,-73.98176,Entire home/apt,225,2,2,2015-06-25,0.04,1,0
15956162,0,Cozy room with balcony in 15mins Manhattan,103488282,Kaka,Queens,Sunnyside,40.74674,-73.92194,Private room,75,1,122,2019-06-24,3.78,5,0,Cute sunny room in big Bushwick apartment,Bushwick,143460,Megan,Brooklyn,40.69819,-73.92194,Private room,45,1,3,2018-07-29,0.21,2,0
22214268,0,Cozy 1BR+SofaBed in Quiet Part of Popular LES,93039729,Sunny,Manhattan,Lower East Side,40.71833,-73.98562,Private room,95,1,0,,,2,0,Romantic Rooftop Studio with 360 Brooklyn views!,Gowanus,3479852,Benjamin,Brooklyn,40.68275,-73.98562,Entire home/apt,150,1,179,2019-06-27,5.69,1,0
9987456,0,Great location next to Times Square,45832664,Monica,Manhattan,Hell's Kitchen,40.76059,-73.99475,Private room,60,1,2,2016-02-08,0.05,1,0,Flatiron Oasis,Chelsea,71321195,Sonia,Manhattan,40.73737,-73.99475,Entire home/apt,225,1,0,,,1,0
35770104,0,Townhouse in Bed Stuy with beautiful garden,18142449,Mara,Brooklyn,Bedford-Stuyvesant,40.68743,-73.95257,Entire home/apt,350,5,0,,,1,22,1 Bedroom in Crown Heights,Crown Heights,51662642,Alex,Brooklyn,40.67023,-73.95257,Entire home/apt,90,1,0,,,1,0
35461373,1,Artsy Private BR in Fort Greene Cumberland,230192510,Zach,Brooklyn,Fort Greene,40.69617,-73.97532,Private room,48,30,0,,,25,341,Artsy Private BR in Fort Greene Cumberland,Fort Greene,230192510,Zach,Brooklyn,40.6971,-73.97523,Private room,48,30,0,,,25,305
9292072,0,Spacious 1 Bedroom Apartment,23429756,Maggie,Manhattan,Upper East Side,40.77638,-73.9476,Entire home/apt,215,1,0,,,1,0,Sunny Room close to Express Train,Bedford-Stuyvesant,142695,Lynn,Brooklyn,40.6813,-73.9476,Private room,65,1,0,,,1,0
20663644,0,Elegant Brooklyn Studio in Luxury Amenity Building,77944774,Jacqueline,Brooklyn,Windsor Terrace,40.64931,-73.9733,Entire home/apt,85,3,12,2019-05-20,0.53,1,5,Stunning Brownstone Apt in Historic Fort Greene,Fort Greene,12166612,Dana,Brooklyn,40.68884,-73.9733,Entire home/apt,310,3,1,2019-07-05,1.0,1,5
10675218,0,New York style loft space,7556789,Samuel,Manhattan,East Harlem,40.80523,-73.93929,Private room,60,1,0,,,1,0,Sunny Bedroom in Harlem,Harlem,74712074,Noel,Manhattan,40.81834,-73.93929,Private room,70,1,4,2016-11-21,0.11,1,0
16328372,0,Room In Bed-Stuy Apartment,68547639,Darren,Brooklyn,Bedford-Stuyvesant,40.68901,-73.95371,Private room,100,1,0,,,1,0,UpperEastSide Sun Drenched 2 Bedrooms Close to All,Upper East Side,8687162,Pinar,Manhattan,40.77847,-73.95371,Entire home/apt,135,15,0,,,1,0
21127460,0,"HUGE, well-lit apartment, great Brooklyn location",12317482,Anna,Brooklyn,Crown Heights,40.66505,-73.95998,Entire home/apt,150,2,1,2017-09-30,0.05,1,0,Charming and cozy one-bedroom on Upper West Side,Morningside Heights,94395484,Rosemarie,Manhattan,40.81511,-73.95998,Entire home/apt,140,2,6,2019-02-24,0.66,1,0
29528574,0,Cosy room in spacious Fort Greene apartment,9601006,Izzy,Brooklyn,Fort Greene,40.69519,-73.97202,Private room,60,1,23,2019-04-23,2.7,1,0,Luxury High Rise Apartment,Murray Hill,2263462,Anna Meng,Manhattan,40.74467,-73.97202,Private room,100,1,1,2015-10-03,0.02,1,0
7206401,0,Wonderful Inwood,17383399,Catlin,Manhattan,Inwood,40.86755,-73.92336,Entire home/apt,175,1,0,,,1,0,Cute 1 Bedroom in 2BR Apartment,Long Island City,9845403,Lenur,Queens,40.75358,-73.92336,Private room,70,1,0,,,1,0
35842254,0,Santa’s Party House,269606659,Steve,Brooklyn,Bushwick,40.69874,-73.92969,Entire home/apt,150,2,0,,,1,365,Spacious Apartment in Astoria,Long Island City,243321,Richard,Queens,40.76398,-73.92969,Entire home/apt,150,3,0,,,1,0
13496448,0,Sunny apartment in Lower East Side (LES),21604714,Roxy,Manhattan,Lower East Side,40.71934,-73.98172,Private room,75,2,3,2018-05-20,0.08,1,0,Top Floor Brownstone - Park Slope,South Slope,3894475,Kyle,Brooklyn,40.66671,-73.98172,Private room,85,2,5,2018-07-24,0.1,3,0
21394596,0,Room avail: Newly-renovated Washington Heights APT,29883522,Alison,Manhattan,Washington Heights,40.84412,-73.93968,Private room,50,3,1,2017-11-06,0.05,1,0,Spacious living space in Williamsburg/Bushwick,Williamsburg,14291958,Yiming (Steven),Brooklyn,40.70644,-73.93968,Private room,60,3,2,2016-10-10,0.06,1,0
34094976,0,Sweet Home near Columbia,245014802,佳,Manhattan,Morningside Heights,40.80495,-73.96439,Private room,50,60,0,,,1,72,Spacious room in Midtown East Manhattan,Midtown,956383,Andrew,Manhattan,40.75896,-73.96439,Private room,105,7,0,,,1,0
7724136,0,Large Lower East Side 1 BDR,40585961,Miguel,Manhattan,Lower East Side,40.72092,-73.98849,Private room,85,1,0,,,1,0,1 bedroom in nyc,Hell's Kitchen,4360949,Denetrias,Manhattan,40.76366,-73.98849,Entire home/apt,260,1,0,,,1,0
21041077,0,Huge Bedroom Next to Lines Q & 6 UPPER EAST SIDE,114011720,Alexandre,Manhattan,Upper East Side,40.7844,-73.9485,Private room,70,3,2,2017-11-04,0.09,1,0,Quick access to the city for cheap,Harlem,49139686,David,Manhattan,40.82442,-73.9485,Private room,55,3,4,2018-01-01,0.21,1,0
26291721,0,Gem in NoMad - entire apartment,197675041,Alexandra,Manhattan,Midtown,40.7424,-73.9837,Entire home/apt,220,3,0,,,1,28,charming 2bdrm apt in East Village,East Village,1151987,Juvie,Manhattan,40.72264,-73.9837,Entire home/apt,160,4,0,,,1,0
16081163,0,Bright Brooklyn Bedroom in Crown Heights,17848497,Steve,Brooklyn,Crown Heights,40.67532,-73.94138,Private room,35,3,2,2017-04-23,0.07,1,0,Beautiful stylish Brooklyn apartmen,Bedford-Stuyvesant,66286,Liat,Brooklyn,40.68538,-73.94138,Entire home/apt,120,3,3,2016-08-09,0.08,2,0
8208317,0,Apartment share with stunning sunset views,17686601,Lauren,Manhattan,Theater District,40.76365,-73.98484,Private room,155,1,0,,,1,0,True 1 Bedroom Apt in Manhattan's Lower East Side,Lower East Side,7147901,Sabrina,Manhattan,40.71526,-73.98484,Entire home/apt,118,1,6,2016-09-24,0.16,1,0
18746696,0,"One Bedroom-One Bathroom in Greenpoint, Brooklyn.",1485117,Matt,Brooklyn,Greenpoint,40.72186,-73.94588,Entire home/apt,125,2,8,2017-12-30,0.31,1,0,Cozy Bedroom in Renovated Harlem Apartment,Harlem,4783045,Delesia,Manhattan,40.81435,-73.94588,Private room,52,2,1,2016-07-20,0.03,1,0
14453189,0,1BR Apartment,81673810,Max,Manhattan,Chinatown,40.71539,-73.99092,Entire home/apt,170,4,0,,,1,0,East Village/Noho Garden Apartment,East Village,6866192,Omar & Ashley,Manhattan,40.7271,-73.99092,Entire home/apt,195,2,0,,,1,0
16050505,0,1 Bedroom Apartment with Balcony in Brooklyn,104500369,Eric,Brooklyn,Bedford-Stuyvesant,40.69519,-73.95107,Entire home/apt,75,1,3,2016-11-29,0.09,1,0,Private Room in Brooklyn,Williamsburg,6468894,Cherng-Mao,Brooklyn,40.71564,-73.95107,Private room,75,1,10,2016-04-19,0.17,1,0
25227326,0,Adorable Top Floor Williamsburg Apt (1 Bedroom),75452286,Sarah,Brooklyn,Williamsburg,40.71754,-73.95906,Entire home/apt,125,2,15,2019-03-24,1.14,1,0,Bright private room with high ceilings near subway,Bedford-Stuyvesant,35328956,Mansimran,Brooklyn,40.6905,-73.95906,Private room,57,2,2,2019-03-01,0.32,1,0
4699963,0,"Cozy 1BD in PLG, Brooklyn!",24295835,Aaron,Brooklyn,Prospect-Lefferts Gardens,40.66074,-73.96035,Entire home/apt,100,3,15,2017-05-24,0.27,1,0,Spacious 2 bedroom in beautiful Clinton Hill,Clinton Hill,1931990,Yarden,Brooklyn,40.68859,-73.96035,Entire home/apt,93,3,2,2018-05-11,0.13,1,0
25110301,0,"Sunny home in Sunnyside, NY",41783072,Daniela & Steven,Queens,Sunnyside,40.7446,-73.92342,Private room,85,1,0,,,1,0,Inwood apartment closed to have fun in manhattan,Inwood,130633561,Jose,Manhattan,40.86815,-73.92342,Private room,125,1,0,,,1,89
7155442,0,Huge Room in Prime Williamsburg,1279181,Matthew,Brooklyn,Williamsburg,40.7155,-73.95603,Private room,150,1,0,,,1,0,Nice thing,Bedford-Stuyvesant,208559533,Mechel,Brooklyn,40.69528,-73.95603,Shared room,115,1,0,,,1,89
22516361,0,Cozy & artsy apt in East Village - 2 bedrooms,26583247,Frannie,Manhattan,East Village,40.7316,-73.98507,Entire home/apt,132,7,0,,,1,0,Beautiful 2-bed apartment in leafy Boerum Hill,Boerum Hill,60350045,Katie,Brooklyn,40.68597,-73.98507,Entire home/apt,150,7,2,2018-09-09,0.14,2,0
7644505,0,Contemporary Brooklyn Town House,29999716,Scott,Brooklyn,South Slope,40.66393,-73.98728,Entire home/apt,300,7,0,,,1,0,Luxury private room near Times Sqr,Hell's Kitchen,27163319,Stefano,Manhattan,40.76444,-73.98728,Private room,120,5,0,,,1,8
4244476,0,Sunny and Funky Greenpoint Room,782008,Lori,Brooklyn,Greenpoint,40.73093,-73.95332,Private room,75,1,1,2015-07-10,0.02,1,0,"Clean, comfortable and convenient UES Studio",Upper East Side,28551360,Kate,Manhattan,40.78226,-73.95332,Entire home/apt,120,1,11,2016-11-13,0.3,1,0
27250504,0,Exquisite Room--Just 15 minutes from JFK,205243076,Diana,Queens,Cambria Heights,40.69159,-73.73658,Private room,65,2,27,2019-06-30,2.34,2,79,Joyous private Room,Bushwick,212071658,Brian,Brooklyn,,-73.90399,Private room,65,2,30,2019-06-13,2.96,5,359
1928570,0,"Studio Apt. in Williamsburg, Brooklyn, NY",4393792,Jose C.,Brooklyn,Williamsburg,40.71532,-73.94581,Entire home/apt,120,3,5,2018-11-04,0.26,1,0,Cozy & Charming Chinatown/LES Spot!,Chinatown,9314442,Adam + Yulu,Manhattan,,-73.99343,Entire home/apt,120,3,2,2016-10-04,0.05,1,0
13208373,0,New construction in Gramercy with rooftop and gym!,74031395,Matt,Manhattan,Gramercy,40.73637,-73.98051,Entire home/apt,350,5,0,,,1,0,Carol,East Village,9709464,Jessica,Manhattan,40.72898,-73.98051,Private room,1700,1,0,,,1,0
21666331,0,Little Gem in Brooklyn,157701601,Karen,Brooklyn,Williamsburg,40.70737,-73.93961,Entire home/apt,125,4,2,2018-08-09,0.11,1,0,Convenient and Comfy - minutes from Manhattan!,Long Island City,3726127,Megan And Martin,Queens,40.75044,-73.93961,Private room,150,4,0,,,1,0
35004123,0,Quiet LES private room with private half bathroom,262114182,Charlton And Marcia,Manhattan,Lower East Side,40.71549,-73.97951,Private room,125,2,0,,,1,296,Huge Unique Two Story E.Vill Oasis,East Village,46665505,Cj,Manhattan,40.72179,-73.97951,Entire home/apt,500,2,0,,,1,0
25465160,0,Shared Apartment By Times Square Hell’s Kitchen,187975743,R.Henry,Manhattan,Hell's Kitchen,40.76364,-73.98859,Shared room,65,1,63,2019-07-01,4.68,8,196,2000sq $2 million 3 story townhouse,Gowanus,28023382,Edwin,Brooklyn,40.684,-73.98859,Entire home/apt,99,1,183,2019-06-30,3.74,1,196
36201685,0,"Cozy, serene sanctuary for one",26325723,Suzana,Manhattan,Upper East Side,40.77365,-73.94961,Private room,80,1,0,,,1,56,Large 1 Bedroom in Brooklyn,Crown Heights,25894037,Margaret,Brooklyn,40.67477,-73.94961,Entire home/apt,125,1,0,,,1,0
35875685,0,"Harlem Hidden Gem,Clean, Affordable and Convenient",269838822,Asya,Manhattan,Harlem,40.80549,-73.95136,Private room,80,2,0,,,1,352,1 Bedroom in Williamsburg 3 BD/1BA Apartment,Williamsburg,26942041,Clara,Brooklyn,40.70744,-73.95136,Private room,50,7,0,,,1,0
26447954,0,Beautiful Designer DUMBO Loft,244444,Michael,Brooklyn,Vinegar Hill,40.7023,-73.98394,Entire home/apt,159,14,0,,,1,0,LOWER EAST SIDE GEM,Lower East Side,3754629,Gina,Manhattan,40.71873,-73.98394,Entire home/apt,150,1,0,,,1,0
19313134,1,"Cozy 1 bedroom apt, Quiet, Near metro, East side",3792860,Elena,Manhattan,Upper East Side,40.76873,-73.95328,Entire home/apt,180,3,0,,,2,0,"Cozy 1 bedroom apt, Quiet, Near metro, East side",Upper East Side,3792860,Elena,Manhattan,40.77052,-73.95485,Entire home/apt,150,1,0,,,2,0
34817616,0,5 min walk to Times Square!  Sleeps 5. Very clean.,251535441,Nick,Manhattan,Hell's Kitchen,40.76047,-73.99202,Entire home/apt,199,7,6,2019-07-01,3.46,1,102,Brklyn Hts Luxury - Garden Calm & Downtown Verve,Brooklyn Heights,35648363,Luke,Brooklyn,40.69183,-73.99202,Entire home/apt,250,2,119,2019-07-01,3.62,1,230
10251768,0,spacious pretty east harlem apt.,19927798,Siobhan,Manhattan,East Harlem,40.79366,-73.94059,Entire home/apt,135,1,4,2016-10-11,0.11,1,0,Beautiful room upper manhttn.,Washington Heights,34475475,Richard,Manhattan,40.85131,-73.94059,Private room,75,1,0,,,1,0
4446862,0,Charming Room in Prospect Heights!,23077718,,Brooklyn,Crown Heights,40.67512,-73.96146,Private room,50,1,0,,,1,0,Room in spacious house in Brooklyn!,Midwood,271073,Besanya,Brooklyn,40.62391,-73.96146,Private room,30,1,0,,,1,0
8061409,0,Private Bedroom in Quiet Brooklyn Neighborhood,1100659,Joe,Brooklyn,Bushwick,40.7052,-73.91549,Private room,49,1,107,2019-06-09,3.04,1,340,"1BR in Newly Renovated Apartment - Rm C, Bushwick!",Williamsburg,36012265,Ada,Brooklyn,,-73.93017,Private room,49,1,6,2019-06-09,0.53,7,343
11646497,0,Spacious Room in Stuyvesant Heights,21480710,Theodore,Brooklyn,Bedford-Stuyvesant,40.68486,-73.932,Private room,89,1,0,,,2,0,New Modern Industrial Studio Apt,Bushwick,53209258,Michelle,Brooklyn,40.69724,-73.932,Private room,105,1,0,,,1,0
16259169,0,Private semi-furnished room in  6 bedroom duplex.,106321136,Devshri,Brooklyn,Bedford-Stuyvesant,40.69118,-73.9554,Private room,35,15,0,,,1,0,"A fine, modern, spacious apartment",Harlem,32199364,Guillermo,Manhattan,40.80686,-73.9554,Entire home/apt,199,1,0,,,1,0
30745429,0,Alphabet City Long term Stay,31917161,Cameron,Manhattan,East Village,40.72583,-73.97528,Private room,70,30,0,,,1,0,Giant Landmark Apartment in the Sky,Park Slope,3710888,Lisa,Brooklyn,40.67546,-73.97528,Private room,350,365,0,,,1,364
9916371,0,Beautiful stylish Brooklyn apartmen,66286,Liat,Brooklyn,Bedford-Stuyvesant,40.68538,-73.94138,Entire home/apt,120,3,3,2016-08-09,0.08,2,0,Bright Brooklyn Bedroom in Crown Heights,Crown Heights,17848497,Steve,Brooklyn,40.67532,-73.94138,Private room,35,3,2,2017-04-23,0.07,1,0
32018402,0,Spacious warm clean private room in the Brooklyn,34556469,Zhansaya,Brooklyn,Gravesend,40.60653,-73.97725,Private room,50,1,0,,,2,0,Bedroom on Riverside Park,Upper West Side,7323687,Russell,Manhattan,40.79304,-73.97725,Private room,125,1,0,,,1,0
7091125,0,"Flatiron Studio Loft, Elevator Bldg",7719262,Ryan,Manhattan,Flatiron District,40.74138,-73.98814,Entire home/apt,299,28,160,2019-06-22,3.39,1,315,Cozy Private Bedroom In The Heart Of Midtown,Hell's Kitchen,87979621,Adam,Manhattan,40.76907,-73.98814,Private room,99,2,52,2019-06-22,4.08,1,192
9921366,0,Luxury Apartment w/ Rooftop Patio,51002691,Paul,Brooklyn,Bedford-Stuyvesant,40.6809,-73.94537,Entire home/apt,65,1,0,,,1,0,Overlooking NYC skyline in Greenpoint,Greenpoint,41152325,I-Nu,Brooklyn,40.72373,-73.94537,Entire home/apt,120,5,0,,,1,0
253803,1,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73708,-73.95271,Entire home/apt,199,3,23,2019-06-22,0.26,28,60,Loft Suite @ The Box House Hotel,Greenpoint,417504,The Box House Hotel,Brooklyn,40.73857,-73.95435,Entire home/apt,199,3,23,2019-04-23,0.26,28,81
8903855,0,Queens Condo w/ Manhattan View,46573375,Loren,Queens,Long Island City,40.75216,-73.94099,Shared room,150,3,0,,,1,0,Pristine Bedroom in Historic Harlem Neighborhood,Harlem,33362434,Melani,Manhattan,40.81795,-73.94099,Private room,100,2,0,,,1,15
21312549,1,Hillside Hotel,134184451,Hillside Hotel,Queens,Jamaica,40.70262,-73.81579,Private room,165,1,0,,,18,355,Hillside Hotel,Jamaica,134184451,Hillside Hotel,Queens,40.70428,-73.81353,Private room,135,1,0,,,18,365
14419516,0,Spacious sunny bedroom (B) - East Village,3417321,David,Manhattan,East Village,40.72935,-73.9871,Private room,150,2,9,2019-06-23,0.26,2,0,Cozy Brooklyn Nook w/Quick Manhattan Access,Downtown Brooklyn,85852354,Janli,Brooklyn,40.69032,-73.9871,Private room,85,2,26,2019-05-31,2.39,1,0
35991548,0,Serenity,266981597,Loves,Brooklyn,Flatbush,40.65087,-73.95566,Entire home/apt,123,1,0,,,1,365,Beautiful Brownstone on Tree Lined Block,Crown Heights,52243765,Jessie,Brooklyn,40.67851,-73.95566,Private room,50,3,0,,,1,0
21966498,0,An apartment in the heart of Williamsburg,9640114,Alexander,Brooklyn,Williamsburg,40.71171,-73.95491,Private room,120,2,2,2018-01-02,0.1,1,0,Very Sunny 1br in Bedstuy - Dog and Kids Friendly,Bedford-Stuyvesant,280693,Auralís,Brooklyn,40.68806,-73.95491,Entire home/apt,200,2,13,2017-12-27,0.37,1,0
36345739,0,Your Finest room in Gramercy,111020505,Maja,Manhattan,Kips Bay,40.74049,-73.98184,Private room,57,30,0,,,1,253,Luxurious Smart Home in Gramercy Park,Gramercy,55560532,Maxim,Manhattan,40.73825,-73.98184,Entire home/apt,690,2,0,,,1,66
26886071,0,Overlooking Tompkins Sq Park in the East Village,5073548,David,Manhattan,East Village,40.72696,-73.9811,Entire home/apt,300,3,6,2019-03-10,0.94,1,0,Cozy spacious 1 bed in Murray Hill,Kips Bay,9622750,Taran Pal,Manhattan,40.74392,-73.9811,Private room,90,3,12,2016-03-08,0.18,3,0
4379145,0,specious 1bd apt on Saint Marks Pl,16598048,Yervand,Manhattan,East Village,40.72902,-73.98814,Entire home/apt,248,6,1,2014-11-02,0.02,1,0,Luxury High-Rise in Center of NYC/Manhattan,Midtown,6415669,Nisha,Manhattan,40.74832,-73.98814,Entire home/apt,190,6,0,,,1,0
27056608,0,Home away from Home,17322419,Ohran,Manhattan,Kips Bay,40.74079,-73.98303,Entire home/apt,750,31,0,,,1,365,Large 1-BR Apt w/Fireplace & Patio,Midtown,11339193,Rachel,Manhattan,40.74364,-73.98303,Entire home/apt,1000,3,0,,,1,0
15739930,0,Cozy Room Amazingly Located in Williamsburg !,44706272,Sophia And Shannon,Brooklyn,Williamsburg,40.70835,-73.955,Private room,45,3,4,2017-07-30,0.13,1,0,Private room in Brooklyn,Sheepshead Bay,4368043,Nika Nurkyz,Brooklyn,40.60738,-73.955,Private room,55,3,0,,,1,0
6509750,0,Art Deco NYC Upper West 2br Apt,696487,Ted,Manhattan,Upper West Side,40.7837,-73.97851,Entire home/apt,385,30,0,,,1,0,Studio Apartment in Murray Hill,Murray Hill,96317547,Adam,Manhattan,40.74827,-73.97851,Private room,120,3,0,,,1,0
24014307,0,In the Heights!,180720187,Peter,Manhattan,Washington Heights,40.83432,-73.94457,Private room,48,3,3,2019-01-06,0.19,1,0,Private clean room in Manhattan,Harlem,71865037,Elinor,Manhattan,40.82032,-73.94457,Private room,49,3,0,,,1,0
31070935,0,Cozy room in duplex apartment - terrace with view,232112395,Alessandro,Brooklyn,Crown Heights,40.67686,-73.93159,Private room,45,14,0,,,1,30,Astoria Queens great room for rent!,Astoria,24109809,Jonathon,Queens,40.77271,-73.93159,Private room,200,1,0,,,1,0
6626581,0,Cute East Village 2BR,27077862,Alex,Manhattan,East Village,40.72699,-73.98694,Entire home/apt,200,1,0,,,1,0,Stylish 1BR with back patio in Hell's Kitchen,Theater District,241513556,Hunter,Manhattan,40.76106,-73.98694,Entire home/apt,170,2,0,,,1,0
7709293,0,master bedroom in a 4 bed 2 bath,40498479,Meryl,Manhattan,Harlem,40.82364,-73.95122,Private room,59,1,0,,,1,0,Entire 1BD Apt in Long Island City!,Long Island City,828682,Leora,Queens,40.74264,-73.95122,Entire home/apt,200,1,2,2015-12-01,0.04,1,0
36042368,0,Colorful + Comfortable Downtown NYC Apartment,32768394,Andrea,Manhattan,East Village,40.72338,-73.9851,Entire home/apt,180,3,0,,,1,17,Large Sunny Private Bedroom,Gowanus,16533401,Aaron,Brooklyn,40.67781,-73.9851,Private room,130,1,0,,,1,0
9792720,0,Semi-Private Room Next to TimeSqare,20337316,Matt,Manhattan,Hell's Kitchen,40.76646,-73.99345,Shared room,65,1,1,2015-12-24,0.02,1,0,Twin Cabin with a Window One,Nolita,51913826,The Bowery House,Manhattan,40.72311,-73.99345,Private room,94,1,1,2019-03-24,0.28,8,0
36282337,0,Sunny Jr 1 Bed in Clinton Hill,17211451,Jamila,Brooklyn,Clinton Hill,40.68316,-73.96289,Entire home/apt,84,30,0,,,1,39,"Charming, Spacious 1 Bd-Great area!",Flatbush,5895565,Sarah,Brooklyn,40.64123,-73.96289,Entire home/apt,85,21,0,,,1,0
573671,1,Luminous Modern Apt Share for Young Professionals,2822805,Ollie,Brooklyn,Bedford-Stuyvesant,40.68586,-73.9501,Private room,60,30,41,2019-02-23,0.65,8,245,Luminous Modern Apt Share for Young Professionals,Bedford-Stuyvesant,2822805,Ollie,Brooklyn,40.68563,-73.94953,Private room,60,30,23,2019-03-29,0.48,8,244
10473052,0,Room in the heart of Williamsburg,41832478,Caroline,Brooklyn,Williamsburg,40.71852,-73.95897,Private room,70,1,0,,,1,0,Spacious 1 bedroom,Morningside Heights,2484520,Marcus,Manhattan,40.81033,-73.95897,Private room,150,1,0,,,1,0
36061719,0,Private Studio-Bedroom in Duplex in Williamsburg,271282883,Terence,Brooklyn,Greenpoint,40.72779,-73.94081,Private room,99,6,0,,,2,54,Geometric Getaway,Washington Heights,19544315,Cal,Manhattan,40.83318,-73.94081,Private room,35,1,0,,,2,0
12343127,0,Centre of Williamsburg,8854804,Nicolin,Brooklyn,Williamsburg,40.71635,-73.95746,Private room,100,3,0,,,1,0,Sunny Prospect Park 2 Bedroom,Prospect-Lefferts Gardens,19233353,Kallie,Brooklyn,40.65599,-73.95746,Private room,60,3,0,,,2,0
10679740,0,Spacious Cute room in Williamsburg,55165952,Liz,Brooklyn,Williamsburg,40.71507,-73.94093,Private room,60,1,0,,,1,0,Cozy bedroom near George Washington Bridge,Washington Heights,80901099,Yifei,Manhattan,40.85019,-73.94093,Shared room,40,1,0,,,1,0
8614125,0,Cozy One Bedroom -Beautiful Terrace,45315085,Anthony,Manhattan,Upper West Side,40.77866,-73.98065,Entire home/apt,275,1,0,,,1,0,Cute Room in Downtown BK,Boerum Hill,7953376,Mary,Brooklyn,40.68558,-73.98065,Private room,65,1,0,,,1,0
32094042,1,Flushing downtown Single room,228879817,Vicky,Queens,Flushing,40.74588,-73.83284,Private room,49,1,14,2019-07-02,2.76,6,121,Flushing downtown Single room,Flushing,228879817,Vicky,Queens,40.74523,-73.83321,Private room,42,1,20,2019-07-07,4.26,6,157
